category,bleu,chrf,comet
Accuracy/Addition,37.43231049788644,66.27695048628233,0.7447561707935835
Accuracy/Creative Reinterpretation,41.05647182011339,66.65389064475633,0.7865062423290745
Accuracy/Mistranslation,36.1021005158659,63.5081014966067,0.7346699915737335
Accuracy/Omission,21.98274477933674,50.33717002958885,0.6594318915815914
Accuracy/Source language fragment,43.61363175883493,68.02081918637491,0.7433942511473617
Fluency/Grammar,38.73666193470108,66.0271492971621,0.7773316047002565
Fluency/Inconsistency,22.637870036395654,53.02976298657672,0.7903871834278107
Fluency/Punctuation,37.31603255594886,65.3848233707664,0.7915790561433846
Fluency/Register,56.26573026817944,74.39393556404863,0.7767818053563436
Fluency/Spelling,38.89045137315391,64.94024389071217,0.7473561650997883
Found,47.38805889722551,71.4461746702671,0.8032326380843702
Locale convention/Currency format,40.30712040740581,60.95412620448658,0.9219616850217184
Missed,40.010671882283994,65.58153695920186,0.792310098807017
No-error,56.93515126360215,78.74817356399959,0.8963585919861136
Other,40.465443167306326,65.32144686497611,0.7101546227931976
Source issue,45.657130089041964,66.58465705482683,0.7663772068917751
Style/Bad sentence structure,28.855954817767444,63.47846821988292,0.7738659059007963
Style/Unnatural or awkward,41.6137320171716,67.72732794348074,0.7824351460954477
Terminology/Inappropriate for context,38.663010999203884,68.16343809712086,0.826783342125975
Terminology/Inconsistent,29.898484609508504,59.560232870663086,0.8277945518493652
nan,3.0920596584344358,25.243638131470696,0.2923447549343109
